,loading,Input,Match type,Approved symbol,Approved name,HGNC ID,Location
PRDM1,-0.014734884,PRDM1,Approved symbol,PRDM1,PR/SET domain 1,HGNC:9346,6q21
CSMD2,-0.014733895,CSMD2,Approved symbol,CSMD2,CUB and Sushi multiple domains 2,HGNC:19290,1p35.1
FMO2,-0.014729221,FMO2,Approved symbol,FMO2,flavin containing dimethylaniline monoxygenase 2,HGNC:3770,1q24.3
KDR,-0.014729187,KDR,Approved symbol,KDR,kinase insert domain receptor,HGNC:6307,4q12
EMILIN2,-0.014727204,EMILIN2,Approved symbol,EMILIN2,elastin microfibril interfacer 2,HGNC:19881,18p11.32-p11.31
DCSTAMP,-0.014725712,DCSTAMP,Approved symbol,DCSTAMP,dendrocyte expressed seven transmembrane protein,HGNC:18549,8q22.3
CTC-297N7.5,0.014725652,CTC-297N7.5,Unmatched,CTC-297N7.5,,,
CEBPE,-0.014723686,CEBPE,Approved symbol,CEBPE,CCAAT enhancer binding protein epsilon,HGNC:1836,14q11.2
TMPRSS13,-0.014722066,TMPRSS13,Approved symbol,TMPRSS13,transmembrane serine protease 13,HGNC:29808,11q23.3
CRMP1,-0.014721192,CRMP1,Approved symbol,CRMP1,collapsin response mediator protein 1,HGNC:2365,4p16.2
FICD,-0.014717946,FICD,Approved symbol,FICD,FIC domain protein adenylyltransferase,HGNC:18416,12q23.3
FAM83D,-0.014717416,FAM83D,Approved symbol,FAM83D,family with sequence similarity 83 member D,HGNC:16122,20q11.23
SAP30L,0.014715372,SAP30L,Approved symbol,SAP30L,SAP30 like,HGNC:25663,5q33.2
P2RX7,-0.014713673,P2RX7,Approved symbol,P2RX7,purinergic receptor P2X 7,HGNC:8537,12q24.31
AARS,-0.014713253,AARS,Previous symbol,AARS1,alanyl-tRNA synthetase 1,HGNC:20,16q22.1
CCDC121,0.014711329,CCDC121,Approved symbol,CCDC121,coiled-coil domain containing 121,HGNC:25833,2p23.3
IRF1,-0.014710713,IRF1,Approved symbol,IRF1,interferon regulatory factor 1,HGNC:6116,5q31.1
RP11-94A24.1,-0.01470745,RP11-94A24.1,Unmatched,RP11-94A24.1,,,
SPAG4,-0.014706109,SPAG4,Approved symbol,SPAG4,sperm associated antigen 4,HGNC:11214,20q11.22
MLLT4-AS1,0.014703707,MLLT4-AS1,Previous symbol,AFDN-DT,AFDN divergent transcript,HGNC:21236,6q27
MARS,-0.014702237,MARS,Previous symbol,MARS1,methionyl-tRNA synthetase 1,HGNC:6898,12q13.3
LINC00211,-0.014696903,LINC00211,Approved symbol,LINC00211,long intergenic non-protein coding RNA 211,HGNC:37459,2p22.2
SPATA12,-0.014695407,SPATA12,Approved symbol,SPATA12,spermatogenesis associated 12,HGNC:23221,3p14.3
RNF135,0.014692479,RNF135,Approved symbol,RNF135,ring finger protein 135,HGNC:21158,17q11.2
DNAJB9,-0.014690591,DNAJB9,Approved symbol,DNAJB9,DnaJ heat shock protein family (Hsp40) member B9,HGNC:6968,7q31.1
NPM2,0.014689085,NPM2,Approved symbol,NPM2,nucleophosmin/nucleoplasmin 2,HGNC:7930,8p21.3
RNASE2,-0.014686165,RNASE2,Approved symbol,RNASE2,ribonuclease A family member 2,HGNC:10045,14q11.2
DUOX2,-0.014680907,DUOX2,Approved symbol,DUOX2,dual oxidase 2,HGNC:13273,15q21.1
PANX1,-0.014678557,PANX1,Approved symbol,PANX1,pannexin 1,HGNC:8599,11q21
STON2,0.014677645,STON2,Approved symbol,STON2,stonin 2,HGNC:30652,14q31.1
S100A12,-0.014677276,S100A12,Approved symbol,S100A12,S100 calcium binding protein A12,HGNC:10489,1q21.3
SGOL1,-0.014669629,SGOL1,Previous symbol,SGO1,shugoshin 1,HGNC:25088,3p24.3
DCUN1D5,-0.014662548,DCUN1D5,Approved symbol,DCUN1D5,defective in cullin neddylation 1 domain containing 5,HGNC:28409,11q22.3
RP11-47I22.3,-0.014661211,RP11-47I22.3,Unmatched,RP11-47I22.3,,,
SYT4,0.014658324,SYT4,Approved symbol,SYT4,synaptotagmin 4,HGNC:11512,18q12.3
LIF,-0.014656549,LIF,Approved symbol,LIF,LIF interleukin 6 family cytokine,HGNC:6596,22q12.2
SLC1A4,-0.014655099,SLC1A4,Approved symbol,SLC1A4,solute carrier family 1 member 4,HGNC:10942,2p14
RASIP1,-0.014654053,RASIP1,Approved symbol,RASIP1,Ras interacting protein 1,HGNC:24716,19q13.33
CPT1C,-0.01465258,CPT1C,Approved symbol,CPT1C,carnitine palmitoyltransferase 1C,HGNC:18540,19q13.33
GRAMD1B,-0.014641229,GRAMD1B,Approved symbol,GRAMD1B,GRAM domain containing 1B,HGNC:29214,11q24.1
AVPR1B,0.014638406,AVPR1B,Approved symbol,AVPR1B,arginine vasopressin receptor 1B,HGNC:896,1q32.1
CRB2,0.014638168,CRB2,Approved symbol,CRB2,crumbs cell polarity complex component 2,HGNC:18688,9q33.3
MAP2K1,-0.014634306,MAP2K1,Approved symbol,MAP2K1,mitogen-activated protein kinase kinase 1,HGNC:6840,15q22.31
HEY1,0.014628799,HEY1,Approved symbol,HEY1,hes related family bHLH transcription factor with YRPW motif 1,HGNC:4880,8q21.13
TBC1D8,-0.01462879,TBC1D8,Approved symbol,TBC1D8,TBC1 domain family member 8,HGNC:17791,2q11.2
MTATP6P1,0.014623866,MTATP6P1,Approved symbol,MTATP6P1,MT-ATP6 pseudogene 1,HGNC:44575,1p36.33
MAML2,0.014620667,MAML2,Approved symbol,MAML2,mastermind like transcriptional coactivator 2,HGNC:16259,11q21
CHDH,0.014616793,CHDH,Approved symbol,CHDH,choline dehydrogenase,HGNC:24288,3p21.1
INSIG1,-0.014615998,INSIG1,Approved symbol,INSIG1,insulin induced gene 1,HGNC:6083,7q36.3
DHH,-0.014613895,DHH,Approved symbol,DHH,desert hedgehog signaling molecule,HGNC:2865,12q13.12
DUOX1,-0.014613557,DUOX1,Approved symbol,DUOX1,dual oxidase 1,HGNC:3062,15q21.1
SLC17A9,-0.014608556,SLC17A9,Approved symbol,SLC17A9,solute carrier family 17 member 9,HGNC:16192,20q13.33
FKBP14,-0.014604435,FKBP14,Approved symbol,FKBP14,FKBP prolyl isomerase 14,HGNC:18625,7p14.3
FTH1P22,-0.014602909,FTH1P22,Approved symbol,FTH1P22,ferritin heavy chain 1 pseudogene 22,HGNC:37640,1p13.1
RP11-75C9.1,0.014602455,RP11-75C9.1,Unmatched,RP11-75C9.1,,,
SLC25A32,-0.01460184,SLC25A32,Approved symbol,SLC25A32,solute carrier family 25 member 32,HGNC:29683,8q22.3
FBXW4,0.014599839,FBXW4,Approved symbol,FBXW4,F-box and WD repeat domain containing 4,HGNC:10847,10q24.32
IL24,-0.014596814,IL24,Approved symbol,IL24,interleukin 24,HGNC:11346,1q32.1
GNB4,-0.014595605,GNB4,Approved symbol,GNB4,G protein subunit beta 4,HGNC:20731,3q26.33
ABHD14B,0.014594011,ABHD14B,Approved symbol,ABHD14B,abhydrolase domain containing 14B,HGNC:28235,3p21.2
CYP2R1,0.01459374,CYP2R1,Approved symbol,CYP2R1,cytochrome P450 family 2 subfamily R member 1,HGNC:20580,11p15.2
HAL,-0.014589843,HAL,Approved symbol,HAL,histidine ammonia-lyase,HGNC:4806,12q23.1
GRINA,-0.014589565,GRINA,Approved symbol,GRINA,glutamate ionotropic receptor NMDA type subunit associated protein 1,HGNC:4589,8q24.3
RALGPS1,0.014588454,RALGPS1,Approved symbol,RALGPS1,Ral GEF with PH domain and SH3 binding motif 1,HGNC:16851,9q33.3
CASC10,-0.014584949,CASC10,Previous symbol,MIR1915HG,MIR1915 host gene,HGNC:31448,10p12.31
MRPL34,0.014584476,MRPL34,Approved symbol,MRPL34,mitochondrial ribosomal protein L34,HGNC:14488,19p13.11
ANKH,0.014581641,ANKH,Approved symbol,ANKH,ANKH inorganic pyrophosphate transport regulator,HGNC:15492,5p15.2
ZSCAN9,0.014581373,ZSCAN9,Approved symbol,ZSCAN9,zinc finger and SCAN domain containing 9,HGNC:12984,6p22.1
DEFB4B,-0.014575457,DEFB4B,Approved symbol,DEFB4B,defensin beta 4B,HGNC:30193,8p23.1
FOLH1,-0.01457521,FOLH1,Approved symbol,FOLH1,folate hydrolase 1,HGNC:3788,11p11.12
FBXO31,0.014574827,FBXO31,Approved symbol,FBXO31,F-box protein 31,HGNC:16510,16q24.2
AKR1D1,-0.014574286,AKR1D1,Approved symbol,AKR1D1,aldo-keto reductase family 1 member D1,HGNC:388,7q33
IGSF5,0.014574015,IGSF5,Approved symbol,IGSF5,immunoglobulin superfamily member 5,HGNC:5952,21q22.2
ADAMTSL1,0.014572193,ADAMTSL1,Approved symbol,ADAMTSL1,ADAMTS like 1,HGNC:14632,9p22.2-p22.1
SGOL2,-0.014571564,SGOL2,Previous symbol,SGO2,shugoshin 2,HGNC:30812,2q33.1
RP11-80B9.4,0.014565411,RP11-80B9.4,Unmatched,RP11-80B9.4,,,
THBS2,-0.014560213,THBS2,Approved symbol,THBS2,thrombospondin 2,HGNC:11786,6q27
TXNDC15,-0.014560016,TXNDC15,Approved symbol,TXNDC15,thioredoxin domain containing 15,HGNC:20652,5q31.1
C21orf49,0.014559877,C21orf49,Previous symbol,C21orf62-AS1,C21orf62 antisense RNA 1,HGNC:1290,21q22.11
NUP107,-0.014553392,NUP107,Approved symbol,NUP107,nucleoporin 107,HGNC:29914,12q15
SERPINA10,0.014550308,SERPINA10,Approved symbol,SERPINA10,serpin family A member 10,HGNC:15996,14q32.13
PTPN2,-0.014547249,PTPN2,Approved symbol,PTPN2,protein tyrosine phosphatase non-receptor type 2,HGNC:9650,18p11.21
LINC00704,0.014545052,LINC00704,Previous symbol,MANCR,mitotically associated long non coding RNA,HGNC:44678,10p15.1
CDC6,-0.014542358,CDC6,Approved symbol,CDC6,cell division cycle 6,HGNC:1744,17q21.2
AC104699.1,-0.014541004,AC104699.1,Unmatched,AC104699.1,,,
CDKN3,-0.014537875,CDKN3,Approved symbol,CDKN3,cyclin dependent kinase inhibitor 3,HGNC:1791,14q22.2
RUNDC3B,0.014536362,RUNDC3B,Approved symbol,RUNDC3B,RUN domain containing 3B,HGNC:30286,7q21.12
RP11-554A11.4,-0.014535985,RP11-554A11.4,Unmatched,RP11-554A11.4,,,
RP11-420L9.5,-0.014535647,RP11-420L9.5,Unmatched,RP11-420L9.5,,,
CIB2,0.014531728,CIB2,Approved symbol,CIB2,calcium and integrin binding family member 2,HGNC:24579,15q25.1
ST3GAL1,-0.014531281,ST3GAL1,Approved symbol,ST3GAL1,"ST3 beta-galactoside alpha-2,3-sialyltransferase 1",HGNC:10862,8q24.22
ZNF813,0.014529563,ZNF813,Approved symbol,ZNF813,zinc finger protein 813,HGNC:33257,19q13.42
ABCA5,0.014529483,ABCA5,Approved symbol,ABCA5,ATP binding cassette subfamily A member 5,HGNC:35,17q24.3
CCP110,-0.014528447,CCP110,Approved symbol,CCP110,centriolar coiled-coil protein 110,HGNC:24342,16p12.3
AC093391.2,-0.014525049,AC093391.2,Unmatched,AC093391.2,,,
OLR1,-0.014521299,OLR1,Approved symbol,OLR1,oxidized low density lipoprotein receptor 1,HGNC:8133,12p13.2
ME1,-0.014520329,ME1,Approved symbol,ME1,malic enzyme 1,HGNC:6983,6q14.2
NMI,-0.014519996,NMI,Approved symbol,NMI,N-myc and STAT interactor,HGNC:7854,2q23.3
CPEB3,0.014517848,CPEB3,Approved symbol,CPEB3,cytoplasmic polyadenylation element binding protein 3,HGNC:21746,10q23.32
PPIB,-0.014516493,PPIB,Approved symbol,PPIB,peptidylprolyl isomerase B,HGNC:9255,15q22.31
BUB1,-0.014516124,BUB1,Approved symbol,BUB1,BUB1 mitotic checkpoint serine/threonine kinase,HGNC:1148,2q13
CHPT1,0.014512689,CHPT1,Approved symbol,CHPT1,choline phosphotransferase 1,HGNC:17852,12q23.2
AC123023.1,-0.014512393,AC123023.1,Unmatched,AC123023.1,,,
RP11-57H14.4,0.014511024,RP11-57H14.4,Unmatched,RP11-57H14.4,,,
CYR61,-0.014508272,CYR61,Previous symbol,CCN1,cellular communication network factor 1,HGNC:2654,1p22.3
ORC1,-0.014507967,ORC1,Approved symbol,ORC1,origin recognition complex subunit 1,HGNC:8487,1p32.3
CTD-2132N18.2,0.014505067,CTD-2132N18.2,Unmatched,CTD-2132N18.2,,,
XRCC2,-0.014502515,XRCC2,Approved symbol,XRCC2,X-ray repair cross complementing 2,HGNC:12829,7q36.1
POM121L9P,-0.014489864,POM121L9P,Approved symbol,POM121L9P,"POM121 transmembrane nucleoporin like 9, pseudogene",HGNC:30080,22q11.23
SLC25A26,0.014488876,SLC25A26,Approved symbol,SLC25A26,solute carrier family 25 member 26,HGNC:20661,3p14.1
HMGN3-AS1,0.014487098,HMGN3-AS1,Approved symbol,HMGN3-AS1,HMGN3 antisense RNA 1,HGNC:48984,6q14.1
TMEM165,-0.014484643,TMEM165,Approved symbol,TMEM165,transmembrane protein 165,HGNC:30760,4q12
DNA2,-0.014484461,DNA2,Approved symbol,DNA2,DNA replication helicase/nuclease 2,HGNC:2939,10q21.3
SLFN12,-0.014484111,SLFN12,Approved symbol,SLFN12,schlafen family member 12,HGNC:25500,17q12
NAP1L2,0.01447863,NAP1L2,Approved symbol,NAP1L2,nucleosome assembly protein 1 like 2,HGNC:7638,Xq13.2
RP11-426C22.4,-0.014473237,RP11-426C22.4,Unmatched,RP11-426C22.4,,,
LINC01023,0.014472361,LINC01023,Approved symbol,LINC01023,long intergenic non-protein coding RNA 1023,HGNC:49004,5q21.3
SEMA6B,-0.014472311,SEMA6B,Approved symbol,SEMA6B,semaphorin 6B,HGNC:10739,19p13.3
ST13,0.014470568,ST13,Approved symbol,ST13,ST13 Hsp70 interacting protein,HGNC:11343,22q13.2
JAK2,-0.014467312,JAK2,Approved symbol,JAK2,Janus kinase 2,HGNC:6192,9p24.1
RAP2B,-0.014465851,RAP2B,Approved symbol,RAP2B,"RAP2B, member of RAS oncogene family",HGNC:9862,3q25.2
SLC39A14,0.014463908,SLC39A14,Approved symbol,SLC39A14,solute carrier family 39 member 14,HGNC:20858,8p21.3
CSRP2BP,0.014461707,CSRP2BP,Previous symbol,KAT14,lysine acetyltransferase 14,HGNC:15904,20p11.23
BMP8B,0.014461403,BMP8B,Approved symbol,BMP8B,bone morphogenetic protein 8b,HGNC:1075,1p34.2
PDGFB,-0.014460908,PDGFB,Approved symbol,PDGFB,platelet derived growth factor subunit B,HGNC:8800,22q13.1
NAMPTL,-0.014458407,NAMPTL,Previous symbol,NAMPTP1,nicotinamide phosphoribosyltransferase pseudogene 1,HGNC:17633,10p11.21
TMEM45A,-0.014450839,TMEM45A,Approved symbol,TMEM45A,transmembrane protein 45A,HGNC:25480,3q12.2
IGHD3-3,-0.014450005,IGHD3-3,Approved symbol,IGHD3-3,immunoglobulin heavy diversity 3-3,HGNC:5498,14q32.33
SRCIN1,0.014449616,SRCIN1,Approved symbol,SRCIN1,SRC kinase signaling inhibitor 1,HGNC:29506,17q12
AC121251.1,-0.01444596,AC121251.1,Unmatched,AC121251.1,,,
MT1X,0.014441138,MT1X,Approved symbol,MT1X,metallothionein 1X,HGNC:7405,16q13
RPS18P9,0.014439588,RPS18P9,Approved symbol,RPS18P9,ribosomal protein S18 pseudogene 9,HGNC:36483,6q25.1
KIAA1377,0.01443933,KIAA1377,Previous symbol,CEP126,centrosomal protein 126,HGNC:29264,11q22.1
PARD3B,0.014438984,PARD3B,Approved symbol,PARD3B,par-3 family cell polarity regulator beta,HGNC:14446,2q33.3
CTC-428G20.3,0.014438793,CTC-428G20.3,Unmatched,CTC-428G20.3,,,
PALLD,-0.014438457,PALLD,Approved symbol,PALLD,"palladin, cytoskeletal associated protein",HGNC:17068,4q32.3
PTPN1,-0.01443625,PTPN1,Approved symbol,PTPN1,protein tyrosine phosphatase non-receptor type 1,HGNC:9642,20q13.13
DHRS4,0.014432841,DHRS4,Approved symbol,DHRS4,dehydrogenase/reductase 4,HGNC:16985,14q11.2
SFXN4,0.014428757,SFXN4,Approved symbol,SFXN4,sideroflexin 4,HGNC:16088,10q26.11
UCN2,-0.01442504,UCN2,Approved symbol,UCN2,urocortin 2,HGNC:18414,3p21.31
DNAJC10,-0.014422749,DNAJC10,Approved symbol,DNAJC10,DnaJ heat shock protein family (Hsp40) member C10,HGNC:24637,2q32.1
FOXC1,-0.014421165,FOXC1,Approved symbol,FOXC1,forkhead box C1,HGNC:3800,6p25.3
GRAMD2,-0.01441867,GRAMD2,Previous symbol,GRAMD2A,GRAM domain containing 2A,HGNC:27287,15q23
RP11-84D1.1,-0.014416885,RP11-84D1.1,Unmatched,RP11-84D1.1,,,
RP11-1246C19.1,0.01441291,RP11-1246C19.1,Unmatched,RP11-1246C19.1,,,
RP11-586D19.1,-0.014411467,RP11-586D19.1,Unmatched,RP11-586D19.1,,,
ZC3H12A,-0.014409183,ZC3H12A,Approved symbol,ZC3H12A,zinc finger CCCH-type containing 12A,HGNC:26259,1p34.3
DIO3OS,0.014407778,DIO3OS,Approved symbol,DIO3OS,DIO3 opposite strand upstream RNA,HGNC:20348,14q32.31
COL15A1,-0.014403065,COL15A1,Approved symbol,COL15A1,collagen type XV alpha 1 chain,HGNC:2192,9q22.33
NUTM2D,0.014402925,NUTM2D,Approved symbol,NUTM2D,NUT family member 2D,HGNC:23447,10q23.2
CTD-2014B16.3,0.014400082,CTD-2014B16.3,Unmatched,CTD-2014B16.3,,,
CCL4L2,-0.014398774,CCL4L2,Approved symbol,CCL4L2,C-C motif chemokine ligand 4 like 2,HGNC:24066,17q12
2-Mar,0.014398627,2-Mar,Unmatched,2-Mar,,,
IGHV3-22,-0.014397443,IGHV3-22,Approved symbol,IGHV3-22,immunoglobulin heavy variable 3-22 (pseudogene),HGNC:5587,14q32.33
INPP4B,-0.01438611,INPP4B,Approved symbol,INPP4B,inositol polyphosphate-4-phosphatase type II B,HGNC:6075,4q31.21
KCNC1,0.014385879,KCNC1,Approved symbol,KCNC1,potassium voltage-gated channel subfamily C member 1,HGNC:6233,11p15.1
STK32B,-0.014385452,STK32B,Approved symbol,STK32B,serine/threonine kinase 32B,HGNC:14217,4p16.2
INSR,0.014385329,INSR,Approved symbol,INSR,insulin receptor,HGNC:6091,19p13.2
HSP90B1,-0.014384986,HSP90B1,Approved symbol,HSP90B1,heat shock protein 90 beta family member 1,HGNC:12028,12q23.3
PAG1,0.01437931,PAG1,Approved symbol,PAG1,phosphoprotein membrane anchor with glycosphingolipid microdomains 1,HGNC:30043,8q21.13
TMEM14B,0.014378065,TMEM14B,Approved symbol,TMEM14B,transmembrane protein 14B,HGNC:21384,6p24.2
CDK1,-0.014375841,CDK1,Approved symbol,CDK1,cyclin dependent kinase 1,HGNC:1722,10q21.2
EWSR1,-0.014374995,EWSR1,Approved symbol,EWSR1,EWS RNA binding protein 1,HGNC:3508,22q12.2
SH2B1,0.014374515,SH2B1,Approved symbol,SH2B1,SH2B adaptor protein 1,HGNC:30417,16p11.2
NOVA1-AS1,0.01436833,NOVA1-AS1,Previous symbol,LINC02588,long intergenic non-protein coding RNA 2588,HGNC:19827,14q12
SLAMF9,-0.014367469,SLAMF9,Approved symbol,SLAMF9,SLAM family member 9,HGNC:18430,1q23.2
MMRN2,-0.014365178,MMRN2,Approved symbol,MMRN2,multimerin 2,HGNC:19888,10q23.2
DEFB4A,-0.014364297,DEFB4A,Approved symbol,DEFB4A,defensin beta 4A,HGNC:2767,8p23.1
ANKRD9,0.014358637,ANKRD9,Approved symbol,ANKRD9,ankyrin repeat domain 9,HGNC:20096,14q32.31
REG3A,-0.01435687,REG3A,Approved symbol,REG3A,regenerating family member 3 alpha,HGNC:8601,2p12
CALCRL,-0.014354757,CALCRL,Approved symbol,CALCRL,calcitonin receptor like receptor,HGNC:16709,2q32.1
GPX8,-0.014352793,GPX8,Approved symbol,GPX8,glutathione peroxidase 8 (putative),HGNC:33100,5q11.2
PACRG,0.014351135,PACRG,Approved symbol,PACRG,parkin coregulated,HGNC:19152,6q26
RP11-290F5.1,-0.014344491,RP11-290F5.1,Unmatched,RP11-290F5.1,,,
SLAMF7,-0.014342812,SLAMF7,Approved symbol,SLAMF7,SLAM family member 7,HGNC:21394,1q23.3
S100A7,-0.014339771,S100A7,Approved symbol,S100A7,S100 calcium binding protein A7,HGNC:10497,1q21.3
LDB2,-0.014339645,LDB2,Approved symbol,LDB2,LIM domain binding 2,HGNC:6533,4p15.32
FCER1G,-0.014333591,FCER1G,Approved symbol,FCER1G,Fc fragment of IgE receptor Ig,HGNC:3611,1q23.3
HNRNPH3,0.01433071,HNRNPH3,Approved symbol,HNRNPH3,heterogeneous nuclear ribonucleoprotein H3,HGNC:5043,10q21.3
LMBRD1,0.014322059,LMBRD1,Approved symbol,LMBRD1,LMBR1 domain containing 1,HGNC:23038,6q13
BUB1B,-0.014321403,BUB1B,Approved symbol,BUB1B,BUB1 mitotic checkpoint serine/threonine kinase B,HGNC:1149,15q15.1
RP11-524D16__A.3,-0.014320999,RP11-524D16__A.3,Unmatched,RP11-524D16__A.3,,,
MGAM,-0.014319273,MGAM,Approved symbol,MGAM,maltase-glucoamylase,HGNC:7043,7q34
ITIH3,-0.014316315,ITIH3,Approved symbol,ITIH3,inter-alpha-trypsin inhibitor heavy chain 3,HGNC:6168,3p21.1
PAPPA,-0.014315913,PAPPA,Approved symbol,PAPPA,pappalysin 1,HGNC:8602,9q33.1
ZBED5-AS1,0.014313579,ZBED5-AS1,Approved symbol,ZBED5-AS1,ZBED5 antisense RNA 1,HGNC:48646,11p15.4
PLN,-0.014311523,PLN,Approved symbol,PLN,phospholamban,HGNC:9080,6q22.31
BRCA1,-0.014311175,BRCA1,Approved symbol,BRCA1,BRCA1 DNA repair associated,HGNC:1100,17q21.31
IFIT5,-0.014306058,IFIT5,Approved symbol,IFIT5,interferon induced protein with tetratricopeptide repeats 5,HGNC:13328,10q23.31
HINFP,0.014304242,HINFP,Approved symbol,HINFP,histone H4 transcription factor,HGNC:17850,11q23.3
FOXP2,0.014302989,FOXP2,Approved symbol,FOXP2,forkhead box P2,HGNC:13875,7q31.1
KCNN3,-0.014300699,KCNN3,Approved symbol,KCNN3,potassium calcium-activated channel subfamily N member 3,HGNC:6292,1q21.3
RP11-678G14.2,0.014297884,RP11-678G14.2,Unmatched,RP11-678G14.2,,,
FGF14,0.014297485,FGF14,Approved symbol,FGF14,fibroblast growth factor 14,HGNC:3671,13q33.1
SMARCE1,0.014296058,SMARCE1,Approved symbol,SMARCE1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1",HGNC:11109,17q21.2
OLIG1,-0.014284868,OLIG1,Approved symbol,OLIG1,oligodendrocyte transcription factor 1,HGNC:16983,21q22.11
RP4-669H2.1,0.014281498,RP4-669H2.1,Unmatched,RP4-669H2.1,,,
KRT14,0.014281005,KRT14,Approved symbol,KRT14,keratin 14,HGNC:6416,17q21.2
AC012456.4,-0.014276406,AC012456.4,Unmatched,AC012456.4,,,
THSD1,-0.014275959,THSD1,Approved symbol,THSD1,thrombospondin type 1 domain containing 1,HGNC:17754,13q14.3
SPARC,-0.014275558,SPARC,Approved symbol,SPARC,secreted protein acidic and cysteine rich,HGNC:11219,5q33.1
LYPD5,-0.014274599,LYPD5,Approved symbol,LYPD5,LY6/PLAUR domain containing 5,HGNC:26397,19q13.31
ENPP7P11,0.014269511,ENPP7P11,Approved symbol,ENPP7P11,ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 11,HGNC:48694,4p16.1
RP11-18I14.10,0.014265113,RP11-18I14.10,Unmatched,RP11-18I14.10,,,
RXRG,0.014259163,RXRG,Approved symbol,RXRG,retinoid X receptor gamma,HGNC:10479,1q23.3
IQGAP3,-0.014257579,IQGAP3,Approved symbol,IQGAP3,IQ motif containing GTPase activating protein 3,HGNC:20669,1q22
STXBP5L,0.014256869,STXBP5L,Approved symbol,STXBP5L,syntaxin binding protein 5 like,HGNC:30757,3q13.33
MLTK,-0.014256695,MLTK,Alias symbol,MAP3K20,mitogen-activated protein kinase kinase kinase 20,HGNC:17797,2q31.1
ANXA2P2,-0.014254756,ANXA2P2,Approved symbol,ANXA2P2,annexin A2 pseudogene 2,HGNC:539,9p13.3
CAMSAP1,-0.014251421,CAMSAP1,Approved symbol,CAMSAP1,calmodulin regulated spectrin associated protein 1,HGNC:19946,9q34.3
AC072052.7,0.014244377,AC072052.7,Unmatched,AC072052.7,,,
SLC19A3,0.014244127,SLC19A3,Approved symbol,SLC19A3,solute carrier family 19 member 3,HGNC:16266,2q36.3
IGKV3D-15,-0.014234609,IGKV3D-15,Approved symbol,IGKV3D-15,immunoglobulin kappa variable 3D-15,HGNC:5824,2p11.2
PPP6R1,-0.014234576,PPP6R1,Approved symbol,PPP6R1,protein phosphatase 6 regulatory subunit 1,HGNC:29195,19q13.42
CDCA4,-0.014232803,CDCA4,Approved symbol,CDCA4,cell division cycle associated 4,HGNC:14625,14q32.33
IGHJ6,-0.014230414,IGHJ6,Approved symbol,IGHJ6,immunoglobulin heavy joining 6,HGNC:5540,14q32.33
TCF19,-0.01422891,TCF19,Approved symbol,TCF19,transcription factor 19,HGNC:11629,6p21.33
CCAT1,-0.014226242,CCAT1,Approved symbol,CCAT1,colon cancer associated transcript 1,HGNC:45128,8q24.21
ILF3-AS1,0.014225291,ILF3-AS1,Previous symbol,ILF3-DT,ILF3 divergent transcript,HGNC:27115,19p13.2
FOXM1,-0.014223406,FOXM1,Approved symbol,FOXM1,forkhead box M1,HGNC:3818,12p13.33
APOBEC1,-0.014223203,APOBEC1,Approved symbol,APOBEC1,apolipoprotein B mRNA editing enzyme catalytic subunit 1,HGNC:604,12p13.31
ARHGEF3,-0.014221653,ARHGEF3,Approved symbol,ARHGEF3,Rho guanine nucleotide exchange factor 3,HGNC:683,3p14.3
TPST2,-0.014203667,TPST2,Approved symbol,TPST2,tyrosylprotein sulfotransferase 2,HGNC:12021,22q12.1
IGHV5-51,-0.014201908,IGHV5-51,Approved symbol,IGHV5-51,immunoglobulin heavy variable 5-51,HGNC:5659,14q32.33
RP11-709B3.2,-0.014198321,RP11-709B3.2,Unmatched,RP11-709B3.2,,,
AC012358.8,0.014197437,AC012358.8,Unmatched,AC012358.8,,,
HM13,-0.014196253,HM13,Approved symbol,HM13,histocompatibility minor 13,HGNC:16435,20q11.21
RHOJ,-0.014192419,RHOJ,Approved symbol,RHOJ,ras homolog family member J,HGNC:688,14q23.2
FKBP10,-0.014189838,FKBP10,Approved symbol,FKBP10,FKBP prolyl isomerase 10,HGNC:18169,17q21.2
PARPBP,-0.01418637,PARPBP,Approved symbol,PARPBP,PARP1 binding protein,HGNC:26074,12q23.2
CHSY3,-0.014184243,CHSY3,Approved symbol,CHSY3,chondroitin sulfate synthase 3,HGNC:24293,5q23.3
ABCG5,-0.014183018,ABCG5,Approved symbol,ABCG5,ATP binding cassette subfamily G member 5,HGNC:13886,2p21
RP11-312O7.2,-0.014178526,RP11-312O7.2,Unmatched,RP11-312O7.2,,,
SAMD14,-0.014177688,SAMD14,Approved symbol,SAMD14,sterile alpha motif domain containing 14,HGNC:27312,17q21.33
PLK4,-0.014172952,PLK4,Approved symbol,PLK4,polo like kinase 4,HGNC:11397,4q28.1
ACSL1,-0.014172582,ACSL1,Approved symbol,ACSL1,acyl-CoA synthetase long chain family member 1,HGNC:3569,4q35.1
SKA3,-0.014171527,SKA3,Approved symbol,SKA3,spindle and kinetochore associated complex subunit 3,HGNC:20262,13q12.11
AFAP1-AS1,-0.014169549,AFAP1-AS1,Approved symbol,AFAP1-AS1,AFAP1 antisense RNA 1,HGNC:28141,4p16.1
RP11-815J4.4,0.014159155,RP11-815J4.4,Unmatched,RP11-815J4.4,,,
